Candidate,Party,Votes
CHANDRAKANT (BABU) KAVLEKAR,Indian National Congress,13525
PRAKASH SHANKAR VELIP,Bharatiya Janata Party,10933
JOAO FERNANDES,Aam Aadmi Party,1385
CHARLES D'SILVA,Goa Su-Raj Party,251
SUDESH GAUDE,Maharashtrawadi Gomantak,211
None of the Above,None of the Above,357
