Candidate,Party,Votes
GOVIND GAUDE,Independent,15149
PANDURANG ALIAS DEEPAK MADHAV DHAVALIKAR,Maharashtrawadi Gomantak,10463
DR. DATTARAM B. DESSAI,Aam Aadmi Party,456
RAMKRISHNA B. JALMI,Indian National Congress,429
None of the Above,None of the Above,448
