Candidate,Party,Votes
WILFRED D'SA,Indian National Congress,9967
FRANCISCO XAVIER PACHECO,Goa Su-Raj Party,4307
MARIANO GODINHO,Aam Aadmi Party,3389
VINCENT RODRIGUES,Nationalist Congress Party,2880
DINESH BANDODKAR,Independent,664
None of the Above,None of the Above,240
