Candidate,Party,Votes
BALDEV SINGH KHAIRA,Shiromani Akali Dal,41336
VIKRAMJIT SINGH CHAUDHARY,Indian National Congress,37859
SAROOP SINGH KADIANA,Aam Aadmi Party,35779
AVTAR SINGH KARIMPURI,Bahujan Samaj Party,28035
PARMJIT RANDHAWA,Revolutionary Marxist Party of India,1857
SANJAY KUMAR SHALU,Lok Insaaf Party,401
BALWINDER SINGH,Bharatiya Rashtravadi Paksha,399
YADWINDER SINGH,Independent,365
None of the Above,None of the Above,953
