Candidate,Party,Votes
PRITAM SINGH KOTBHAI,Indian National Congress,51605
JAGSIR SINGH,Aam Aadmi Party,50960
HARPREET SINGH,Shiromani Akali Dal,44025
KIRANJIT SINGH GEHRI,Independent,1775
MUMTAJ,Bahujan Samaj Party,1137
SURINDER PAL SOMI TUNGWALIA,All India Trinamool Congress,985
BALDEV SINGH,Independent,410
None of the Above,None of the Above,711
