Candidate,Party,Votes
OM PARKASH SONI,Indian National Congress,51242
TARUN CHUGH,Bharatiya Janata Party,30126
AJAY GUPTA,Aam Aadmi Party,7171
RAJESH KUMAR,Bahujan Samaj Party,500
AVTAR SINGH,Independent,182
SIKANDER,Independent,164
ASHOK KUMAR,Democratic Swaraj Party,162
KESHAV KOHLI,Aapna Punjab Party,134
OM PARKASH,Independent,108
None of the Above,None of the Above,919
