Candidate,Party,Votes
KULWANT SINGH PANDORI,Aam Aadmi Party,57551
AJIT SINGH SHANT,Shiromani Akali Dal,30487
HARCHAND KAUR,Indian National Congress,25688
MAKHAN SINGH,Bahujan Samaj Party,4922
GOBIND SINGH,Independent,3183
KHUSIA SINGH,Communist Party of India,1177
GURMAIL SINGH,Independent,892
DARBARA SINGH,Independent,341
GURMIT SINGH,Aapna Punjab Party,306
SARABJIT SINGH,Bahujan Mukti Party,236
None of the Above,None of the Above,924
