Candidate,Party,Votes
LAKHBIR SINGH LODHINANGAL,Shiromani Akali Dal,42517
ASHWANI SEKHRI,Indian National Congress,42032
GURPREET SINGH GHUGGI,Aam Aadmi Party,34302
INDER SEKHRI,Aapna Punjab Party,691
GURPREET SINGH GHULLI,Independent,622
BAKHSHIS SINGH,Bahujan Samaj Party,546
SANJEEV KUMAR MALHAN,Independent,444
ANIL MAHAJAN,Independent,357
AVTAR SINGH,Communist Party of India  (Marxist),356
LAKHBIR SINGH,Independent,243
ASHWANI KUMAR,Independent,226
SANTOSH KUMAR,Independent,197
ASHWANI KUMAR SHAKRI,Independent,168
None of the Above,None of the Above,713
