Candidate,Party,Votes
KULJIT SINGH NAGRA,Indian National Congress,58205
DIDAR SINGH BHATTI,Shiromani Akali Dal,34338
LAKHVIR SINGH RAI,Aam Aadmi Party,29393
KULDIP SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1589
TARLOCHAN SINGH,Aapna Punjab Party,449
None of the Above,None of the Above,803
