Candidate,Party,Votes
SUKHWINDER SINGH DANNY BANDALA,Indian National Congress,53042
DALBIR SINGH,Shiromani Akali Dal,34620
HARBHAJAN SINGH E. T. O.,Aam Aadmi Party,33912
SATPAL SINGH PAKHOKE,Bahujan Samaj Party,814
HARDEEP SINGH,Bahujan Samaj Party  (Ambedkar),679
VIKRAMJIT SINGH,Democratic Party of India (Ambedkar),669
HARBHAJAN SINGH JANDIALA,Independent,581
DALIP SINGH,Aapna Punjab Party,491
None of the Above,None of the Above,843
