Candidate,Party,Votes
PARMINDER SINGH DHINDSA,Shiromani Akali Dal,65550
RAJINDER KAUR BHATTAL,Indian National Congress,38735
JASVIR SINGH,Aam Aadmi Party,25089
RAM DASS,Bahujan Samaj Party,3284
SHAM SINGH,Independent,1582
SATWANT SINGH,Communist Party of India,1201
RAJ KUMAR,Democratic Swaraj Party,688
BALDEV SINGH,Independent,621
GIAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),492
None of the Above,None of the Above,962
