Candidate,Party,Votes
AJAIB SINGH BHATTI,Indian National Congress,49098
DARSHAN SINGH,Shiromani Akali Dal,44109
PRINCIPAL BALDEV SINGH,Aam Aadmi Party,38663
GURTEJ SINGH,Communist Party of India,1130
SUKHDEV SINGH,Bahujan Samaj Party,1039
BALDEV SINGH,Independent,864
RESHAM SINGH,Independent,392
None of the Above,None of the Above,899
