Candidate,Party,Votes
VIJAY INDER SINGLA,Indian National Congress,67310
DINESH BANSAL,Aam Aadmi Party,36498
PARKASH CHAND GARG,Shiromani Akali Dal,34510
GURNAIB SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1863
ATMA SINGH,Bahujan Samaj Party,939
MANJEET KAUR,Independent,492
PARMINDER KAUR,Aapna Punjab Party,401
None of the Above,None of the Above,768
