Candidate,Party,Votes
DR. RAJ KUMAR,Indian National Congress,57857
SOHAN SINGH THANDAL,Shiromani Akali Dal,28596
RAMAN KUMAR,Aam Aadmi Party,20505
GURLAL SAILA,Bahujan Samaj Party,5585
BALWINDER SINGH BITTU,Independent,571
GURNAM SINGH,Bharatrashtra Democratic Party,566
SURINDER SINGH,Inqalab Vikas Dal,542
JAGDISH SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),469
GURJIT SINGH,Aapna Punjab Party,285
None of the Above,None of the Above,842
