Candidate,Party,Votes
SANJEEV TALWAR,Indian National Congress,43010
DALJIT SINGH GREWAL (BHOLA),Aam Aadmi Party,41429
RANJIT SINGH DHILLON,Shiromani Akali Dal,41313
GURPREET SINGH,Bahujan Samaj Party,2076
JASWANT SINGH CHEEMA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),659
HARDEEP SINGH (BAWA),All India Trinamool Congress,371
RAMESH KUMAR,Independent,288
None of the Above,None of the Above,1067
