Candidate,Party,Votes
PARKASH SINGH,Shiromani Akali Dal,66375
AMARINDER SINGH,Indian National Congress,43605
JARNAIL SINGH,Aam Aadmi Party,21254
GURMEET SINGH RANGHRETA,Punjab Labour Party,730
BALJINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),531
MANMANDER SINGH,Aapna Punjab Party,391
None of the Above,None of the Above,1101
