Candidate,Party,Votes
RAMANJEET SINGH SAHOTA SIKKI,Indian National Congress,64666
RAVINDER SINGH BRAHAMPURA,Shiromani Akali Dal,47611
BHUPINDER SINGH,Aam Aadmi Party,28644
BALDEV SINGH DHUNDA,Communist Party of India,1756
KARAM SINGH BHOIAN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1257
DYAL SINGH,Bahujan Samaj Party,770
DALJIT SINGH,Aapna Punjab Party,457
BAGGA SINGH,Independent,381
None of the Above,None of the Above,820
