Candidate,Party,Votes
KULTAR SINGH SANDHWAN,Aam Aadmi Party,47401
BHAI HARNIRPAL SINGH KUKKU,Indian National Congress,37326
MANTAR SINGH BRAR,Shiromani Akali Dal,33895
AVTAR KRISHAN,Bahujan Samaj Party,1278
GURDEEP SINGH,Independent,585
SURINDER KUMAR DWIVEDI,Aapna Punjab Party,524
JAGROOP SINGH,National Adhikar Insaf Party,342
RAMESH KUMAR,Independent,278
None of the Above,None of the Above,674
