Candidate,Party,Votes
NARINDER KUMAR SHARMA,Shiromani Akali Dal,70792
DEEPINDER SINGH,Indian National Congress,68871
SARABJIT KAUR,Aam Aadmi Party,33150
GURMEET SINGH,Bahujan Samaj Party,1268
DHARMINDER KUMAR,Shivsena,892
AMRIK SINGH,Aapna Punjab Party,562
VINOD KUMAR SHARMA,Independent,473
MANJU KAUSHAL,Samaj Adhikar Kalyan Party,449
MAAN SINGH,Independent,338
None of the Above,None of the Above,1345
