Candidate,Party,Votes
GURMEET SINGH MEET HAHER,Aam Aadmi Party,47606
KEWAL SINGH DHILLON,Indian National Congress,45174
SURINDER PAL SINGH SIBIA,Shiromani Akali Dal,31111
SIMRANJIT SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),5061
PARAMJIT KAUR,Bahujan Samaj Party,2369
GURKIMAT SINGH,All India Trinamool Congress,941
MAHINDER SINGH,Independent,411
JASPAL SINGH,Bahujan Mukti Party,336
RAJ KUMAR,Inqalab Vikas Dal,254
None of the Above,None of the Above,889
