Candidate,Party,Votes
SANTOKH SINGH,Indian National Congress,45965
DALBIR SINGH TONG,Aam Aadmi Party,39378
MALKIAT SINGH,Shiromani Akali Dal,38265
AMRIK SINGH,Revolutionary Marxist Party of India,2925
BALJIT SINGH BHATTI,Aapna Punjab Party,1174
KAMALJIT SINGH,Democratic Swaraj Party,1071
SWINDER SINGH,Bahujan Samaj Party,974
None of the Above,None of the Above,876
