Candidate,Party,Votes
RUPINDER KAUR RUBY,Aam Aadmi Party,51572
ER. AMIT RATTAN KOTFATTA,Shiromani Akali Dal,40794
HARVINDER SINGH LADDI,Indian National Congress,28939
DAVINDERPAL SINGH,Bahujan Samaj Party,1037
GURSEWAK SINGH,Independent,1035
SURJEET SINGH SOHI,Communist Party of India,909
JASWINDER SINGH GILL,Aapna Punjab Party,740
JAGTAR SINGH,All India Trinamool Congress,459
JAGSIR SINGH,Independent,376
None of the Above,None of the Above,1216
