Candidate,Party,Votes
GURPREET SINGH,Indian National Congress,47319
SANTOKH SINGH,Aam Aadmi Party,37273
DARBARA SINGH GURU,Shiromani Akali Dal,24852
DHARAM SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1618
MOHINDER SINGH,Bahujan Samaj Party,819
GURDEEP SINGH,Independent,456
HARNEK SINGH DIWANA,Independent,310
SAMUNDER SINGH,Samaj Adhikar Kalyan Party,265
MANJINDER SINGH,Aapna Punjab Party,241
None of the Above,None of the Above,728
