Candidate,Party,Votes
AMARINDER SINGH,Indian National Congress,72586
DR.BALBIR SINGH,Aam Aadmi Party,20179
JOGINDER JASWANT SINGH,Shiromani Akali Dal,11677
KSHAMA KANT PANDEY,Hindustan Shakti Sena,291
SARBJIT SINGH,Independent,248
AKSHNINDER SINGH,Aapna Punjab Party,227
None of the Above,None of the Above,1090
