Candidate,Party,Votes
SADHU SINGH,Indian National Congress,60861
GURDEV SINGH DEV MANN,Aam Aadmi Party,41866
KABIR DASS,Shiromani Akali Dal,32482
JEET RAM,Independent,2689
KASHMIR SINGH,Communist Party of India,1409
JAGTAR SINGH,Bahujan Samaj Party,716
JARNAIL SINGH,Aapna Punjab Party,612
RANJIT KAUR THUHI,Independent,517
None of the Above,None of the Above,1280
