Candidate,Party,Votes
AMRINDER SINGH @ RAJA WARRING,Indian National Congress,63500
HARDEEP SINGH @ DIMPY DHILLON,Shiromani Akali Dal,47288
JAGDEEP SINGH,Aam Aadmi Party,25334
JAGRUP SINGH,Communist Party of India,840
SHEELA RANI,Bahujan Samaj Party,582
OM PARKASH,Independent,442
TEK SINGH,National Adhikar Insaf Party,356
None of the Above,None of the Above,885
