Candidate,Party,Votes
RAKESH PANDEY,Indian National Congress,44864
PARVEEN BANSAL,Bharatiya Janata Party,39732
RANDHIR SINGH SIVIA,Lok Insaaf Party,20387
MADAN LAL BAGGA,Independent,12136
HEM RAJ AGGARWAL,Independent,3011
RAJINDER KUMAR,Bahujan Samaj Party,1513
PARVEEN DANG,Independent,624
JEET SHARMA,Jammu & Kashmir National Panthers Party,339
RAKESH JAIN,Independent,245
PREM BHUSHAN JAIN,Shivsena,204
JOGINDER LAL,Bahujan Mukti Party,195
None of the Above,None of the Above,1307
