Candidate,Party,Votes
HARPAL SINGH CHEEMA,Aam Aadmi Party,46434
AJAIB SINGH RATOLAN,Indian National Congress,44789
GULZAR SINGH,Shiromani Akali Dal,44777
DARSHAN SINGH SIDHU,Independent,2875
HARWINDER SINGH,Bahujan Samaj Party,2081
MANDEEP SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1779
GHAMAND SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),789
BIKAR SINGH,Independent,630
JAGTAR SINGH,Aapna Punjab Party,369
None of the Above,None of the Above,1147
