Candidate,Party,Votes
NATHU RAM,Indian National Congress,65607
PARKASH SINGH BHATTI,Shiromani Akali Dal,50158
SIMARJEET SINGH,Aam Aadmi Party,22464
GIRI RAJ RAJORA,All India Trinamool Congress,1072
SATISH KUMAR,Bahujan Samaj Party,888
VINOD KUMAR,Independent,705
GURMAIL SINGH,National Adhikar Insaf Party,667
None of the Above,None of the Above,1175
