Candidate,Party,Votes
DR. DHARAMBIR AGNIHOTRI,Indian National Congress,59794
HARMEET SINGH SANDHU,Shiromani Akali Dal,45165
KARTAR SINGH PEHALWAN,Aam Aadmi Party,22950
SUKHDEV SINGH,Communist Party of India  (Marxist),1115
GURJINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),992
GURWINDER SINGH,Aapna Punjab Party,732
ANANTJIT SINGH,Bahujan Samaj Party,554
BALBIR SINGH TIRATH PADHRI,Bahujan Samaj Party  (Ambedkar),433
None of the Above,None of the Above,838
