Candidate,Party,Votes
DINESH SINGH,Bharatiya Janata Party,48910
AMIT SINGH,Indian National Congress,30209
NARESH PURI,Independent,28675
NATHA SINGH,Revolutionary Marxist Party of India,10581
KULBHUSHAN SINGH,Aam Aadmi Party,2831
KARNAIL CHAND,Bahujan Samaj Party,1083
ROMESH SINGH JASROTIA,Aapna Punjab Party,908
SAURAB DUBEY,Shivsena,701
GURU DUTT SHARMA,Independent,463
None of the Above,None of the Above,1008
