Candidate,Party,Votes
GURPRATAP SINGH WADALA,Shiromani Akali Dal,56241
SARWAN SINGH HAYER,Aam Aadmi Party,37834
JAGBIR SINGH BRAR,Indian National Congress,35633
TARANPAL SINGH,Bahujan Samaj Party,8284
GURBINDER SINGH ATWAL,Independent,1664
SANTOKH SINGH BILGA,Revolutionary Marxist Party of India,1517
INDERJIT KAUR,Bahujan Samaj Party  (Ambedkar),465
KUSUM SHARMA,Independent,353
GURMAIL SINGH KALER,Aapna Punjab Party,292
None of the Above,None of the Above,1039
