Candidate,Party,Votes
SOM PARKASH,Bharatiya Janata Party,45479
JOGINDER SINGH MANN,Indian National Congress,43470
JARNAIL NANGAL,Aam Aadmi Party,32374
SURINDER DHANDA,Bahujan Samaj Party,6160
ASHWANI KUMAR SAHOTA,Independent,498
TIRATH RAM,Bahujan Mukti Party,399
TULSI RAM KHOSLA,Bahujan Samaj Party  (Ambedkar),375
None of the Above,None of the Above,1094
