Candidate,Party,Votes
JAGTAR SINGH JAGGA HISSOWAL,Aam Aadmi Party,48245
AMAR SINGH,Indian National Congress,37631
INDER IQBAL SINGH ATWAL,Shiromani Akali Dal,29019
SURINDER SINGH,Bahujan Samaj Party,878
MOTA SINGH,Communist Party of India  (Marxist),662
DALJIT SINGH,Independent,309
SIKANDAR SINGH,Bahujan Mukti Party,302
None of the Above,None of the Above,816
