Candidate,Party,Votes
SUKHPAL SINGH BHULLAR,Indian National Congress,81897
VIRSA SINGH,Shiromani Akali Dal,62295
BIKRAMAJIT SINGH,Aam Aadmi Party,6568
DALJIT SINGH,Revolutionary Marxist Party of India,1665
HARJINDER SINGH,Independent,595
None of the Above,None of the Above,1484
