Candidate,Party,Votes
VINAY SHAKYA,Bharatiya Janata Party,81905
DINESH KUMAR VERMA,Samajwadi Party,77995
SHIV PRASAD YADAV,Bahujan Samaj Party,53366
SANJEEV KUMAR SHAKYA,Jan Adhikar Manch,1147
UMAKANT,Desh Shakti Party,964
RADHAKRISHNA,Independent,695
KRISHNAVEER SINGH,Independent,688
LAXMAN KUMAR,Jan Adhikar Party,346
None of the Above,None of the Above,1270
