Candidate,Party,Votes
SURESH RAHI,Bharatiya Janata Party,101680
RAMHET BHARTI,Bahujan Samaj Party,56685
MANOJ KUMAR RAJVANSHI,Samajwadi Party,50211
AMIT KUMAR,Sarv Sambhaav Party,2700
RAMNARESH,Peace Party,2648
ARJUN LAL,Communist Party of India  (Marxist-Leninist)  (Liberation),2053
KHLAWN,Independent,1053
MOHAN LAL,Rashtriya Lok Dal,1025
JAGPAL,Bharatiya Subhash Sena,986
None of the Above,None of the Above,2220
