Candidate,Party,Votes
RAGHURAJ PRATAP SINGH,Independent,136597
JANKI SHARAN,Bharatiya Janata Party,32950
PARVEZ AKHTAR,Bahujan Samaj Party,17261
BHAGWANDEEN,Independent,5514
RAM KRIPAL,Independent,2615
JIYALAL,Bahujan Mukti Party,2109
None of the Above,None of the Above,3992
