Candidate,Party,Votes
SOBARAN SINGH YADAV,Samajwadi Party,104221
RAMA SHAKYA,Bharatiya Janata Party,65816
DALVIR,Bahujan Samaj Party,29676
KAUSHAL YADAV,Rashtriya Lok Dal,4683
LAL KUMAR,Rashtriya Kisan Majdoor Party,1713
RANVIJAY SINGH,Bharatiya Subhash Sena,776
PANNALAL,Independent,720
VINAY,Independent,670
SUNIL,Independent,531
RAMPRAKASH,Independent,448
None of the Above,None of the Above,1014
