Candidate,Party,Votes
RAJBALA,Bharatiya Janata Party,89861
VIJAY SINGH,Samajwadi Party,73194
RADHEY SHYAM RAHI,Bahujan Samaj Party,39271
CHANDRAPAL SINGH,Independent,7914
KAPIL DEV,Republican Party of India (A),1637
INDRA SINGH MEHRA,Rashtriya Lok Dal,1328
MADHUBALA,Sarvajan Kalyan Loktantrik Party,827
JAGATSINGH,Independent,825
None of the Above,None of the Above,1477
