Candidate,Party,Votes
RAJKUMAR ALIAS RAJU YADAV,Samajwadi Party,75787
ASHOK KUMAR,Bharatiya Janata Party,66956
MAHARAJ SINGH,Bahujan Samaj Party,48314
SATYENDRA SINGH,Manav Hit Party,1257
VINAY,Jan Adhikar Manch,684
PRADEEP KUMAR,Rashtriya Lok Dal,636
RAMNARESH,Bharatiya Subhash Sena,595
SURJEET SINGH,Independent,365
SURESH,Independent,339
SANJEEV KUMAR,Independent,284
MAHARAJ SINGH,Independent,266
PAL SINGH,Independent,173
None of the Above,None of the Above,1157
