Candidate,Party,Votes
VIMLESH PASWAN,Bharatiya Janata Party,71966
DHARMENDRA KUMAR,Bahujan Samaj Party,49093
SHARADA DEVI,Samajwadi Party,44051
NANDLAL,Nirbal Indian Shoshit Hamara Aam Dal,7892
RAMDHARI,Independent,1496
PUSHPA DEVI,Bahujan Mukti Party,798
RAM SINGH,Jan Adhikar Party,742
SAVITRI,Hamari Apni Party,637
None of the Above,None of the Above,2143
