Candidate,Party,Votes
KRISHNA PASWAN,Bharatiya Janata Party,94954
OM PRAKASH GIHAR,Indian National Congress,38520
SUNIL KUMAR,Bahujan Samaj Party,38359
HEERA LAL,Communist Party of India,4293
RAJESH RAO,Rashtriya Lok Dal,2846
ANIL KUMAR,Bahujan Mukti Party,1798
None of the Above,None of the Above,3801
