Candidate,Party,Votes
SHRIRAM SONKAR,Bharatiya Janata Party,73493
RAJENDRA KUMAR,Bahujan Samaj Party,72955
BAIJNATH,Samajwadi Party,59871
PRABHU RAM,Pichhravarg Mahapanchayat Party,1179
SURYABHAN BHASKAR,Jan Adhikar Party,936
FAUJDAR PRASAD,Bahujan Mukti Party,768
MEENA DEVI,Poorvanchal People's Party,638
None of the Above,None of the Above,1945
