Candidate,Party,Votes
SUBHASH PASSI,Samajwadi Party,76664
VIDYASAGAR SONKAR,Bharatiya Janata Party,67954
RAJIV KIRAN,Bahujan Samaj Party,59726
SANTOSH,Nirbal Indian Shoshit Hamara Aam Dal,2451
SANJAY,Mahakranti Dal,2118
KAMTA PRASAD,Bahujan Mukti Party,729
SANTOSH KUMAR RAM,Rashtravadi Pratap Sena,698
RAMASHRAY SONKAR,Jan Adhikar Party,443
ROHIT KUMAR,Janta Raj Party,343
MAHENDRA,Samajwadi Janata Party (ChandraShekhar),275
None of the Above,None of the Above,1787
