Candidate,Party,Votes
SADHANA SINGH,Bharatiya Janata Party,87401
BABULAL,Samajwadi Party,74158
TILAK DHARI,Bahujan Samaj Party,57219
BABBAN,Pragatisheel Manav Samaj Party,7811
GOVIND LAL,Bahujan Mukti Party,1109
SHALIGRAM,Independent,736
RAJENDRA,Moulik Adhikar Party,602
RATAN LAL,Independent,530
SHASHIKANT,Communist Party of India  (Marxist-Leninist)  (Liberation),462
MADINA,Independent,378
SHWETA PANDEY,Poorvanchal People's Party,261
None of the Above,None of the Above,1950
