Candidate,Party,Votes
KALI PRASAD,Bharatiya Janata Party,76175
VIJAY LAXMI GAUTAM,Samajwadi Party,50521
RANVIJAY,Bahujan Samaj Party,28152
SATISH KUMAR,Communist Party of India  (Marxist),2280
RAMKRIPAL,Independent,1055
MUNNILAL PASWAN,Peace Party,812
RAMESH CHANDA SAHANI,Jan Adhikar Party,661
ARUN KUMAR,Communist Party of India  (Marxist-Leninist)  (Liberation),441
CHANDESHWAR,Bahujan Mukti Party,373
None of the Above,None of the Above,1951
