Candidate,Party,Votes
BAMBA LAL,Bharatiya Janata Party,84068
RAM BARAN,Bahujan Samaj Party,56832
SUDHIR KUMAR,Samajwadi Party,48506
BABLU RAWAT,Rashtriya Lok Dal,2056
SWARIT CHAUDHARY,Independent,1165
SAMAR PRABHAKAR,Jan Adhikar Party,990
SURESH,Independent,946
SURESH,Independent,842
None of the Above,None of the Above,1820
