Candidate,Party,Votes
DURGA PRASAD,Samajwadi Party,88087
AKHILESH,Bharatiya Janata Party,61825
BHUPENDRA,Bahujan Samaj Party,58185
PATIRAM,Rashtriya Lok Dal,1345
PRIYANKA CHAUHAN,Bahujan Mukti Party,1061
MANJAY,Jan Adhikar Party,792
BHOLA,Rashtrawadi Janwadi Manch,519
None of the Above,None of the Above,2134
