Candidate,Party,Votes
BRAJESH KUMAR,Samajwadi Party,80475
SUNIL KUMAR,Bharatiya Janata Party,63946
KAMLESH KUMARI,Bahujan Samaj Party,27858
SUMAN DIWAKAR,Jan Adhikar Manch,2724
GRISH KUMAR,Rashtriya Lok Dal,920
NETRAPAL,Bharatiya Subhash Sena,800
NATHOO RAM,Independent,442
LEENA SINGH,Independent,377
ASHISH NIGAM,Independent,363
AKHILESH,Independent,286
MEERA,Fauji Janta Party,254
None of the Above,None of the Above,1070
