Candidate,Party,Votes
MOHAMMAD AZAM KHAN,Samajwadi Party,102100
SHIV BAHADUR SAXENA,Bharatiya Janata Party,55258
DR. TANVEER AHMAD KHAN,Bahujan Samaj Party,54248
AHMAD ALI,Independent,952
ASIM KHAN,Rashtriya Lok Dal,901
MOHD. HANEEF KHAN,Independent,423
None of the Above,None of the Above,1191
