Candidate,Party,Votes
BHAGWATI PRASAD SAGAR,Bharatiya Janata Party,102326
KAMLESH CHANDRA DIWAKAR,Bahujan Samaj Party,71160
SHIV KUMAR BERIYA,Samajwadi Party,60023
NARPAT SINGH,Rashtriya Lok Dal,1239
SUBHASH,Bhartiya Shakti Chetna Party,1092
SURENDRA SINGH,Bharatiya Subhash Sena,858
BABURAM,Voters Party  International,781
MANOJ KUMAR,Independent,627
RAM AVATAR,Lok Dal,613
None of the Above,None of the Above,1965
