Candidate,Party,Votes
SHIVPAL SINGH YADAV,Samajwadi Party,126834
MANISH YADAV PATRE,Bharatiya Janata Party,74218
DURVESH KUMAR SHAKYA,Bahujan Samaj Party,24509
ASHOK KUMAR SHAKYA,Jan Adhikar Manch,1838
JAGPAL SINGH YADAV,Rashtriya Lok Dal,1145
ANITA DEVI,Independent,822
DESHDEEP YADAV,Independent,622
ARUNA DEVI,Independent,601
BHANUPRATAP,Bharatiya Subhash Sena,585
RAGHUVEER SINGH,Independent,556
None of the Above,None of the Above,1327
