Candidate,Party,Votes
SHOBHA SINGH CHAUHAN,Bharatiya Janata Party,94074
ANAND SEN,Samajwadi Party,67422
JITENDRA SINGH,Bahujan Samaj Party,49690
JUVER AHMAD,All India Majlis-E-Ittehadul Muslimeen,3275
AZAHARUDDIN,Bahujan Mukti Party,1643
ALOK DWIVEDI,Rashtriya Lok Dal,1261
RAM JANAK,Moulik Adhikar Party,1038
DASRATH KUMAR SINGH,Independent,952
RAJENDRA,Independent,832
ANIL KUMAR,Adarshwaadi Congress Party,472
None of the Above,None of the Above,2257
