Candidate,Party,Votes
SANJEEV KUMAR DIWAKAR,Bharatiya Janata Party,81502
RANJEET SUMAN,Samajwadi Party,61694
MOHAN SINGH HAPPY,Bahujan Samaj Party,35817
RAJKUMARI,Rashtriya Kranti Party,2375
RAMDAS DAGA,Independent,597
SURESH,Independent,489
DHARMENDRA PAL SINGH,Independent,385
GEETA DEVI,Independent,326
JAYPAL,Independent,267
None of the Above,None of the Above,1188
