Candidate,Party,Votes
DR. SHYAM BIHARI LAL,Bharatiya Janata Party,83656
DR. SIYA RAM SAGAR,Samajwadi Party,58935
VIJAY PAL SINGH,Bahujan Samaj Party,37680
POONAM SEN,Rashtriya Lok Dal,3075
SHALINI SINGH,Independent,1927
VIJENDRA PAL,Lok Dal,1208
ULFAT SINGH KATHERIYA,Jan Seva Sahayak Party,990
DAULAT RAM,Peace Party,907
None of the Above,None of the Above,1831
