Candidate,Party,Votes
PALTURAM,Bharatiya Janata Party,89401
SHIVLAL,Indian National Congress,64541
RAM SAGAR AKELA,Bahujan Samaj Party,26011
SHIV KUMAR,Peace Party,2357
MADAN LAL,Mahakranti Dal,1798
HARIRAM,Bharatiya Subhash Sena,1434
BAAL MUKUND,Independent,1214
SHREE RAM,Independent,982
DADDAN,Independent,809
RAMDAS,Bahujan Mukti Party,737
MEVALAL,Bharatiya Samrat Subhash  Sena,609
None of the Above,None of the Above,3414
