Candidate,Party,Votes
RAJVEER DILER,Bharatiya Janata Party,128000
RAJENDRA KUMAR,Bahujan Samaj Party,53200
SULEKHA SINGH,Rashtriya Lok Dal,28141
GUROOVINDAR SINGH,Indian National Congress,20934
PREM SINGH,Independent,1165
VIJAY KUMAR,Independent,1059
None of the Above,None of the Above,1122
