Candidate,Party,Votes
NAVAB JAN,Samajwadi Party,107865
RAJPAL SINGH CHAUHAN,Bharatiya Janata Party,94456
VIJAY YADAV,Bahujan Samaj Party,39821
EJAJ AHMAD,All India Majlis-E-Ittehadul Muslimeen,9444
ATEEQ AHMAD,Communist Party of India  (Marxist),1096
ABID,Independent,771
HARPAL SINGH,Rashtriya Lok Dal,598
JITENDRA KUMAR SHARMA,Bharatiya Subhash Sena,505
SHAMSHAD HUSSAIN,Independent,504
ATUL KUMAR,Independent,320
None of the Above,None of the Above,1040
