Candidate,Party,Votes
KRISHANPAL MALIK URF KRISHANPAL MALIK,Bharatiya Janata Party,79427
SAHAB SINGH,Rashtriya Lok Dal,52941
SHOKENDRA,Samajwadi Party,28376
LOKESH DIXIT,Bahujan Samaj Party,22071
ANISH,Ittehad-E-Millait Council,537
SHARAD JAIN,Independent,465
SUDHIR,Swarajya Party Of India,280
BABLU,Independent,211
None of the Above,None of the Above,870
