Candidate,Party,Votes
TRIVENI RAM,Suheldev Bhartiya Samaj Party,84158
GAREEB,Samajwadi Party,79001
SANJIV KUMAR,Bahujan Samaj Party,67077
KESHNATH PRASAD,Nationalist Congress Party,2368
KUNWER,Samajwadi Janata Party (ChandraShekhar),1918
RAMLAL,Communist Party of India,1860
LAL BAHADUR,Communist Party of India  (Marxist-Leninist)  (Liberation),1212
RAMJEET,Mahakranti Dal,1103
None of the Above,None of the Above,1837
