Candidate,Party,Votes
BIPIN SINGH,Bharatiya Janata Party,83686
VIJAY BAHADUR YADAV,Samajwadi Party,79276
SANJAY KUMAR,Nirbal Indian Shoshit Hamara Aam Dal,34901
RAJESH PANDEY,Bahujan Samaj Party,30097
ADIL AKHTAR,Communist Party of India,1539
KAUSHILYA DEVI,Apna Dal United Party,1006
MALTI DEVI,Independent,936
BINAY KUMAR PANDEY,Sarvodaya Bharat Party,797
SANTOSH KUMAR GUPTA,Independent,652
VAKIL KUMAR NISHAD,Bahujan Mukti Party,540
ISHRAWATI,Nationalist Congress Party,465
GULAB CHANDRA YADAV,Rashtriya Lok Dal,434
None of the Above,None of the Above,1634
