Candidate,Party,Votes
AZAD ARI MARDAN,Bahujan Samaj Party,72715
DAROGA PRASAD SAROJ,Bharatiya Janata Party,70488
BECHAI SAROJ,Samajwadi Party,54196
UMA SHANKAR SONKAR,Mahakranti Dal,1708
RAM CHANDAR,Independent,864
SANDEEP,Mahamukti Dal,573
SUNITA BHARTI,Bahujan Mukti Party,530
MANTRAJ,National Democratic Front,449
None of the Above,None of the Above,2123
