Candidate,Party,Votes
PRABHUNARAYAN YADAV,Samajwadi Party,79875
SURYAMUNI TIWARI,Bharatiya Janata Party,64906
UPENDRA,Bahujan Samaj Party,52175
HARIDWAR SINGH YADAV,Rashtriya Lok Dal,943
RAMESH,Communist Party of India  (Marxist-Leninist)  (Liberation),679
BABITA YADAV,Independent,678
NASIM ANSHARI,Lok Dal,529
CHANDRA VIJAY SINGH,Bahujan Mukti Party,511
BABU LAL,Bharatiya Samaj Dal,309
None of the Above,None of the Above,1787
